评论内容,评价
"干净卫生,食材新鲜,肉质鲜嫩,价格优惠",好评
"干净卫生,食材新鲜,肉质鲜嫩,经常回购",好评
"干净卫生,保温到手,肉质鲜嫩,配送及时",好评
"食材新鲜,经常回购,价格优惠,配送及时",好评
"干净卫生,食材新鲜,分量十足,配送及时",好评
"干净卫生,肉质鲜嫩,分量十足",好评
"食材新鲜,分量十足,经常回购,价格优惠",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,食材新鲜,经常回购,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩,配送及时",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠",好评
"干净卫生,保温到手,食材新鲜",好评
好吃,好评
烤黑/烤焦,差评
"肉质鲜嫩,分量十足,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,分量十足,经常回购",好评
"食材新鲜,肉质鲜嫩,分量十足,配送及时",好评
"肉质鲜嫩,分量十足,经常回购",好评
"保温到手,食材新鲜,肉质鲜嫩,经常回购",好评
"肉质鲜嫩,分量十足,配送及时",好评
不错,好评
"干净卫生,肉质鲜嫩,分量十足,配送及时",好评
"保温到手,经常回购,价格优惠,配送及时",好评
"保温到手,食材新鲜,价格优惠,配送及时",好评
"保温到手,肉质鲜嫩,经常回购,配送及时",好评
"干净卫生,肉质鲜嫩,价格优惠,配送及时",好评
"干净卫生,保温到手,分量十足,配送及时",好评
好吃,好评
好吃,好评
"食材新鲜,肉质鲜嫩,经常回购,配送及时",好评
"干净卫生,食材新鲜,价格优惠",好评
好吃,好评
"干净卫生,保温到手,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
冷/凉,差评
"保温到手,肉质鲜嫩,分量十足,价格优惠",好评
"干净卫生,肉质鲜嫩,配送及时",好评
"食材新鲜,经常回购,价格优惠,配送及时",好评
"肉质鲜嫩,分量十足,价格优惠",好评
"食材新鲜,肉质鲜嫩,分量十足",好评
"保温到手,肉质鲜嫩,经常回购",好评
"保温到手,食材新鲜,分量十足,配送及时",好评
"干净卫生,经常回购,价格优惠,配送及时",好评
"干净卫生,食材新鲜,分量十足,配送及时",好评
好评,好评
"保温到手,食材新鲜,经常回购,配送及时",好评
"干净卫生,肉质鲜嫩,配送及时",好评
"干净卫生,食材新鲜,肉质鲜嫩,分量十足",好评
"保温到手,分量十足,经常回购,价格优惠",好评
"保温到手,经常回购,配送及时",好评
"干净卫生,食材新鲜,经常回购,价格优惠",好评
"干净卫生,分量十足,经常回购,价格优惠",好评
"干净卫生,食材新鲜,经常回购",好评
"干净卫生,保温到手,肉质鲜嫩,经常回购,价格优惠",好评
"肉质差/肉柴/肉粉,食品内有异物,有异味（酸臭等）",差评
"保温到手,肉质鲜嫩,价格优惠,配送及时",好评
"保温到手,食材新鲜,分量十足,价格优惠",好评
"保温到手,分量十足,经常回购",好评
"干净卫生,食材新鲜,配送及时",好评
"干净卫生,分量十足,经常回购,价格优惠",好评
好吃,好评
"干净卫生,保温到手,食材新鲜,价格优惠",好评
"保温到手,肉质鲜嫩,分量十足,经常回购",好评
"食材新鲜,肉质鲜嫩,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,价格优惠",好评
"干净卫生,保温到手,食材新鲜,经常回购",好评
"保温到手,分量十足,经常回购,价格优惠",好评
好吃,好评
"干净卫生,食材新鲜,经常回购,价格优惠",好评
"干净卫生,保温到手,价格优惠,配送及时",好评
配送及时,好评
"干净卫生,分量十足,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,价格优惠,配送及时",好评
"干净卫生,食材新鲜,分量十足,经常回购,价格优惠,配送及时",好评
冷/凉,差评
"保温到手,食材新鲜,经常回购,价格优惠",好评
"分量十足,经常回购,配送及时",好评
"干净卫生,肉质鲜嫩,价格优惠",好评
"保温到手,价格优惠,配送及时",好评
"干净卫生,经常回购,价格优惠,配送及时",好评
"食材新鲜,分量十足,价格优惠,配送及时",好评
"干净卫生,肉质鲜嫩,经常回购,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩,分量十足",好评
"干净卫生,保温到手,食材新鲜,分量十足",好评
"干净卫生,分量十足,经常回购",好评
好吃好吃,好评
"食材新鲜,肉质鲜嫩,配送及时",好评
"肉质鲜嫩,分量十足,价格优惠",好评
"干净卫生,食材新鲜,价格优惠",好评
"分量十足,经常回购,价格优惠",好评
"干净卫生,肉质鲜嫩,价格优惠",好评
"干净卫生,肉质鲜嫩,经常回购,价格优惠",好评
"干净卫生,保温到手,经常回购,配送及时",好评
"干净卫生,保温到手,食材新鲜,配送及时",好评
不熟,差评
"干净卫生,肉质鲜嫩,配送及时",好评
"干净卫生,经常回购,价格优惠,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩,经常回购",好评
"食材新鲜,分量十足,配送及时",好评
"保温到手,价格优惠,配送及时",好评
"保温到手,食材新鲜,经常回购,价格优惠",好评
"干净卫生,食材新鲜,配送及时",好评
"食材新鲜,价格优惠,配送及时",好评
"干净卫生,保温到手,配送及时",好评
"干净卫生,保温到手,肉质鲜嫩,分量十足",好评
"保温到手,肉质鲜嫩,分量十足",好评
"保温到手,肉质鲜嫩,经常回购",好评
"干净卫生,保温到手,分量十足",好评
"保温到手,肉质鲜嫩,分量十足,配送及时",好评
"肉质鲜嫩,分量十足,经常回购",好评
"肉质鲜嫩,经常回购,价格优惠,配送及时",好评
"保温到手,食材新鲜,分量十足,经常回购",好评
"保温到手,食材新鲜,分量十足,价格优惠",好评
"保温到手,肉质鲜嫩,经常回购,配送及时",好评
冷/凉,差评
"干净卫生,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,保温到手,经常回购,配送及时",好评
"肉质鲜嫩,经常回购",好评
"保温到手,食材新鲜,分量十足,配送及时",好评
"肉质鲜嫩,分量十足,经常回购,配送及时",好评
"保温到手,分量十足,配送及时",好评
配送及时,好评
"干净卫生,保温到手,食材新鲜,价格优惠",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,保温到手,食材新鲜",好评
"干净卫生,食材新鲜,分量十足,配送及时",好评
"干净卫生,保温到手,分量十足,价格优惠",好评
"保温到手,肉质鲜嫩,经常回购,配送及时",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"保温到手,分量十足,配送及时",好评
"肉质鲜嫩,分量十足,经常回购",好评
"分量十足,价格优惠,配送及时",好评
"肉质鲜嫩,分量十足,经常回购,价格优惠",好评
太甜/太腻/太油/太咸等,差评
"干净卫生,保温到手,经常回购,配送及时",好评
"经常回购,价格优惠,配送及时",好评
"干净卫生,保温到手,肉质鲜嫩,经常回购",好评
肉质鲜嫩,好评
"干净卫生,食材新鲜,经常回购",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩",好评
经常回购,好评
"干净卫生,保温到手,肉质鲜嫩,经常回购,价格优惠",好评
"保温到手,食材新鲜,配送及时",好评
"干净卫生,肉质鲜嫩,配送及时",好评
"食材新鲜,分量十足,价格优惠,配送及时",好评
"食材新鲜,价格优惠,配送及时",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠",好评
"保温到手,食材新鲜,肉质鲜嫩",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,分量十足,经常回购,价格优惠",好评
"分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,食材新鲜,肉质鲜嫩,经常回购",好评
"分量十足,价格优惠,配送及时",好评
太甜/太腻/太油/太咸等,差评
"干净卫生,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,经常回购",好评
"食材新鲜,肉质鲜嫩,配送及时",好评
"食材新鲜,肉质鲜嫩,分量十足,价格优惠",好评
"食材新鲜,分量十足,经常回购,价格优惠",好评
"保温到手,食材新鲜,价格优惠",好评
"保温到手,肉质鲜嫩,经常回购,配送及时",好评
"干净卫生,保温到手,经常回购,配送及时",好评
"干净卫生,分量十足,经常回购,配送及时",好评
保温到手,好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,配送及时",好评
"干净卫生,肉质鲜嫩,分量十足",好评
"干净卫生,分量十足,价格优惠",好评
"干净卫生,保温到手,分量十足,经常回购",好评
"分量十足,经常回购,价格优惠",好评
"保温到手,食材新鲜,肉质鲜嫩",好评
"干净卫生,分量十足,价格优惠",好评
"保温到手,分量十足,经常回购,价格优惠",好评
"干净卫生,保温到手,经常回购",好评
"分量（克重）不足,肉质差/肉柴/肉粉,太甜/太腻/太油/太咸等",差评
"食材新鲜,肉质鲜嫩,分量十足",好评
"肉质鲜嫩,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,分量十足,经常回购",好评
"保温到手,食材新鲜,分量十足,价格优惠",好评
"干净卫生,保温到手,食材新鲜,经常回购",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩",好评
"保温到手,肉质鲜嫩,价格优惠,配送及时",好评
"肉质鲜嫩,经常回购,价格优惠",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"肉质鲜嫩,价格优惠,配送及时",好评
"食材新鲜,肉质鲜嫩,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩,价格优惠",好评
"肉质鲜嫩,分量十足,价格优惠",好评
"肉质鲜嫩,分量十足,经常回购,价格优惠",好评
"保温到手,价格优惠,配送及时",好评
"分量十足,经常回购,价格优惠,配送及时",好评
"保温到手,分量十足,经常回购,价格优惠",好评
"干净卫生,肉质鲜嫩,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩,分量十足",好评
翻了/撒了,差评
"食材新鲜,经常回购,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩",好评
"干净卫生,食材新鲜,经常回购,价格优惠",好评
"干净卫生,食材新鲜,肉质鲜嫩,分量十足",好评
"食材新鲜,经常回购,价格优惠,配送及时",好评
"保温到手,经常回购",好评
"保温到手,食材新鲜,肉质鲜嫩,配送及时",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩",好评
"干净卫生,食材新鲜,配送及时",好评
"食材新鲜,肉质鲜嫩,价格优惠,配送及时",好评
"干净卫生,肉质鲜嫩,价格优惠,配送及时",好评
"食材新鲜,经常回购,价格优惠",好评
"干净卫生,食材新鲜,配送及时",好评
"干净卫生,肉质鲜嫩,经常回购",好评
"保温到手,食材新鲜,肉质鲜嫩",好评
"保温到手,食材新鲜,肉质鲜嫩",好评
"食材新鲜,肉质鲜嫩,分量十足,经常回购",好评
"干净卫生,保温到手,配送及时",好评
"干净卫生,食材新鲜,肉质鲜嫩",好评
肉质差/肉柴/肉粉,差评
"保温到手,分量十足,经常回购,价格优惠",好评
肉质鲜嫩,好评
"食材新鲜,分量十足,价格优惠",好评
"食材新鲜,肉质鲜嫩",好评
"干净卫生,保温到手,食材新鲜,价格优惠",好评
"干净卫生,食材新鲜,分量十足,经常回购",好评
"干净卫生,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,保温到手,食材新鲜",好评
"食材新鲜,肉质鲜嫩,价格优惠",好评
"干净卫生,食材新鲜,肉质鲜嫩",好评
"干净卫生,保温到手,肉质鲜嫩,分量十足",好评
"干净卫生,经常回购,配送及时",好评
经常回购,好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,保温到手,配送及时",好评
"保温到手,食材新鲜,价格优惠",好评
"干净卫生,保温到手,食材新鲜,经常回购",好评
经常回购,好评
"食材新鲜,分量十足,价格优惠",好评
冷/凉,差评
"干净卫生,保温到手,分量十足,配送及时",好评
"保温到手,食材新鲜,分量十足",好评
"干净卫生,保温到手,肉质鲜嫩,价格优惠",好评
"食材新鲜,分量十足,经常回购,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩,分量十足",好评
"干净卫生,保温到手,经常回购",好评
"保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购",好评
"食材新鲜,肉质鲜嫩,分量十足,经常回购",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,经常回购,配送及时",好评
"干净卫生,保温到手,经常回购,配送及时",好评
"保温到手,分量十足,经常回购,价格优惠",好评
"食材新鲜,经常回购,价格优惠,配送及时",好评
"保温到手,食材新鲜,经常回购,配送及时",好评
"干净卫生,食材新鲜,分量十足,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩,配送及时",好评
"保温到手,食材新鲜,分量十足,经常回购",好评
"肉质鲜嫩,分量十足,价格优惠",好评
"保温到手,肉质鲜嫩,经常回购",好评
"保温到手,肉质鲜嫩,经常回购",好评
食用后身体不适,差评
"保温到手,肉质鲜嫩,价格优惠,配送及时",好评
"食材新鲜,肉质鲜嫩,经常回购",好评
"食材新鲜,肉质鲜嫩,分量十足,价格优惠",好评
"保温到手,经常回购,配送及时",好评
"干净卫生,分量十足,经常回购,价格优惠",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"食材新鲜,肉质鲜嫩,经常回购",好评
"干净卫生,肉质鲜嫩",好评
"食材新鲜,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,保温到手,食材新鲜,分量十足",好评
"分量十足,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,分量十足,配送及时",好评
香,好评
"干净卫生,食材新鲜,分量十足,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩,配送及时",好评
"干净卫生,肉质鲜嫩,经常回购,价格优惠",好评
"干净卫生,肉质鲜嫩,分量十足",好评
"食材新鲜,肉质鲜嫩,价格优惠,配送及时",好评
"保温到手,肉质鲜嫩,配送及时",好评
太甜/太腻/太油/太咸等,差评
"干净卫生,肉质鲜嫩,经常回购,价格优惠",好评
"食材新鲜,肉质鲜嫩,分量十足,价格优惠",好评
"保温到手,食材新鲜,配送及时",好评
"食材新鲜,肉质鲜嫩",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"食材新鲜,分量十足,配送及时",好评
"干净卫生,食材新鲜,经常回购",好评
"干净卫生,分量十足,经常回购,配送及时",好评
"保温到手,食材新鲜,分量十足,经常回购",好评
"干净卫生,经常回购,价格优惠,配送及时",好评
香,好评
"分量十足,经常回购,价格优惠",好评
配送及时,好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩,经常回购",好评
"保温到手,食材新鲜,配送及时",好评
"干净卫生,分量十足,配送及时",好评
"分量十足,经常回购,价格优惠,配送及时",好评
"食材新鲜,肉质鲜嫩,经常回购,配送及时",好评
肉质差/肉柴/肉粉,差评
"食材新鲜,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,食材新鲜,价格优惠,配送及时",好评
"保温到手,肉质鲜嫩,经常回购,价格优惠",好评
"肉质鲜嫩,分量十足,经常回购,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩,分量十足,经常回购,价格优惠",好评
"干净卫生,肉质鲜嫩,分量十足,配送及时",好评
肉质鲜嫩,好评
"保温到手,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,肉质鲜嫩,经常回购",好评
"肉质鲜嫩,分量十足,经常回购,价格优惠",好评
"肉质鲜嫩,经常回购,价格优惠",好评
"食材新鲜,分量十足,价格优惠",好评
"肉质鲜嫩,分量十足,价格优惠,配送及时",好评
"干净卫生,保温到手,肉质鲜嫩,经常回购,配送及时",好评
"食材新鲜,分量十足,经常回购,配送及时",好评
"干净卫生,保温到手,分量十足,配送及时",好评
"干净卫生,食材新鲜,经常回购",好评
"干净卫生,肉质鲜嫩,经常回购",好评
"保温到手,食材新鲜,肉质鲜嫩,价格优惠",好评
有异味（酸臭等）,差评
"干净卫生,肉质鲜嫩,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩,价格优惠",好评
"干净卫生,经常回购,配送及时",好评
"干净卫生,肉质鲜嫩,分量十足",好评
"干净卫生,肉质鲜嫩,经常回购,配送及时",好评
"肉质鲜嫩,经常回购,配送及时",好评
"肉质鲜嫩,分量十足,配送及时",好评
"保温到手,分量十足,经常回购",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购",好评
"干净卫生,分量十足,价格优惠",好评
"保温到手,分量十足,价格优惠",好评
"保温到手,肉质鲜嫩,价格优惠",好评
"保温到手,食材新鲜,肉质鲜嫩,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,经常回购",好评
"保温到手,肉质鲜嫩,分量十足,配送及时",好评
"保温到手,肉质鲜嫩",好评
"干净卫生,食材新鲜,分量十足,经常回购",好评
"冷/凉,肉质差/肉柴/肉粉,太甜/太腻/太油/太咸等,有异味（酸臭等）",差评
"干净卫生,肉质鲜嫩,分量十足",好评
"干净卫生,保温到手",好评
"保温到手,肉质鲜嫩,分量十足,价格优惠",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩",好评
"干净卫生,经常回购,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩,配送及时",好评
"干净卫生,肉质鲜嫩,分量十足,经常回购",好评
"保温到手,食材新鲜,价格优惠,配送及时",好评
"干净卫生,肉质鲜嫩,分量十足,经常回购",好评
"干净卫生,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,保温到手,经常回购,价格优惠",好评
"保温到手,肉质鲜嫩,价格优惠,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩",好评
"干净卫生,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,分量十足,配送及时",好评
"干净卫生,食材新鲜,价格优惠",好评
"干净卫生,保温到手,食材新鲜,价格优惠",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,肉质鲜嫩,经常回购",好评
"冷/凉,太甜/太腻/太油/太咸等",差评
"保温到手,经常回购,价格优惠",好评
"保温到手,食材新鲜,经常回购",好评
"干净卫生,食材新鲜,分量十足,经常回购",好评
"保温到手,食材新鲜,肉质鲜嫩",好评
"保温到手,食材新鲜,经常回购,价格优惠",好评
"食材新鲜,分量十足,经常回购,价格优惠",好评
"保温到手,食材新鲜,肉质鲜嫩,配送及时",好评
"干净卫生,食材新鲜,肉质鲜嫩",好评
"干净卫生,食材新鲜,分量十足,价格优惠",好评
"干净卫生,保温到手,食材新鲜,价格优惠",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,经常回购,价格优惠,配送及时",好评
"食材新鲜,经常回购,配送及时",好评
"干净卫生,食材新鲜,肉质鲜嫩",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"食材新鲜,价格优惠,配送及时",好评
"保温到手,食材新鲜,肉质鲜嫩",好评
"保温到手,分量十足,经常回购,配送及时",好评
"干净卫生,保温到手,经常回购,价格优惠",好评
"食材新鲜,肉质鲜嫩,配送及时",好评
分量（克重）不足,差评
"食材新鲜,经常回购,价格优惠,配送及时",好评
"干净卫生,保温到手,肉质鲜嫩,配送及时",好评
"分量十足,经常回购,配送及时",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,配送及时",好评
"保温到手,分量十足,经常回购,配送及时",好评
"食材新鲜,分量十足,价格优惠,配送及时",好评
"保温到手,肉质鲜嫩,分量十足,价格优惠",好评
"保温到手,食材新鲜,肉质鲜嫩,经常回购",好评
"食材新鲜,价格优惠,配送及时",好评
保温到手,好评
"保温到手,分量十足,经常回购",好评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"保温到手,肉质鲜嫩,经常回购,配送及时",好评
"干净卫生,食材新鲜,肉质鲜嫩",好评
"保温到手,食材新鲜,肉质鲜嫩,分量十足",好评
"保温到手,肉质鲜嫩,分量十足,配送及时",好评
"干净卫生,食材新鲜,经常回购,价格优惠",好评
"干净卫生,保温到手,肉质鲜嫩,分量十足,配送及时",好评
"保温到手,肉质鲜嫩,价格优惠",好评
太甜/太腻/太油/太咸等,差评
"干净卫生,保温到手,食材新鲜,肉质鲜嫩,分量十足,经常回购,价格优惠,配送及时",好评
"干净卫生,食材新鲜,肉质鲜嫩",好评
"保温到手,分量十足,价格优惠,配送及时",好评
"食材新鲜,肉质鲜嫩,分量十足",好评
"肉质鲜嫩,分量十足,经常回购",好评
"干净卫生,保温到手,食材新鲜",好评
"保温到手,分量十足,经常回购",好评
"食材新鲜,经常回购,价格优惠,配送及时",好评
"保温到手,分量十足,配送及时",好评
"保温到手,食材新鲜,经常回购,配送及时",好评
"食材新鲜,经常回购,配送及时",好评
"干净卫生,分量十足,经常回购",好评
"肉质鲜嫩,经常回购,配送及时",好评
"保温到手,肉质鲜嫩,配送及时",好评
"干净卫生,价格优惠,配送及时",好评
"干净卫生,分量十足,价格优惠",好评
"干净卫生,分量十足,价格优惠,配送及时",好评
"干净卫生,保温到手,配送及时",好评
"干净卫生,分量十足,价格优惠",好评
有异味（酸臭等）,差评
榴莲味浓，口感很好。,好评
物流飞快！果肉充实！口感细腻香甜！很棒！,好评
买的是榴莲送来的是三文鱼😛，算了懒得换了，吃吃鱼也不错，算是歪打正着吧哈哈哈😂。,好评
闻起来挺香的，感觉不错,好评
京东配送的，收货时干冰还没化完，冷冻榴莲还是是梆硬的。味道不错~挺实惠的。量超级足，相当满意，继续保持噢🌞,好评
榴莲不错  解冻之后口感挺好,好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满,肉厚核小,方便即食,性价比高",好评
没有新鲜好吃不够糯,好评
下单后第三天送达，虽然干冰袋都空了，但整袋榴莲还是冻的硬硬的。因我家就我一人吃榴莲，每次在超市买一个也喜欢冰冻后再吃，因此只买果肉是不错的选择，且性价比高,好评
"软糯香甜,香气浓郁",好评
"香气浓郁,圆润饱满,肉厚核小,方便即食",好评
不错，买了好几次了，挺好吃的,好评
还可以哦,好评
好吃,好评
蹦着试吃的心态买的，没想真的不错，好吃。又下了一单。,好评
"日期新鲜,软糯香甜,香气浓郁,肉厚核小",好评
"日期新鲜,香气浓郁,圆润饱满,肉厚核小",好评
软糯香甜,好评
发苦,差评
很不错的榴莲，没想到冷冻的也有这么大,好评
太好吃了，每次拿出来都忘记拍照就吃光了,好评
还没收到货就降价10,好评
"软糯香甜,香气浓郁,肉厚核小,性价比高",好评
可以，好吃，香糯,好评
"日期新鲜,软糯香甜,香气浓郁",好评
好吃的 烤了榴莲芝士饼和芝士蛋挞 很香甜,好评
太香了，做了榴莲蛋挞，又大口吃了几块，甜糯糯,好评
好,好评
"不甜/发涩,发苦,果肉硬",差评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满,肉厚核小,方便即食,性价比高",好评
挺好吃的～冷冻来的，化了以后水太多了,好评
榴莲很甜糯，妈妈很喜欢，希望一直品质在线,好评
"非常新鲜,日期新鲜,酸酸甜甜",好评
挺好吃的,好评
性价比高。非常好吃。,好评
"日期新鲜,软糯香甜,圆润饱满",好评
肉多核小，超级棒！,好评
味道很好，熟的正好，会回购,好评
"分量（克重）不足,果肉硬",差评
还是没有现开的榴莲好吃,好评
"非常新鲜,日期新鲜,酸酸甜甜,软糯香甜",好评
果肉很甜，果核特别小，性价比很高,好评
"日期新鲜,软糯香甜,性价比高",好评
"酸酸甜甜,大小均匀,回头客打call",好评
"日期新鲜,圆润饱满,肉厚核小,性价比高",好评
"软糯香甜,圆润饱满,方便即食",好评
方便即食,好评
"非常新鲜,性价比高,分量十足",好评
不好吃,差评
"软糯香甜,方便即食,性价比高",好评
果肉很甜，多次回购,好评
"日期新鲜,圆润饱满,肉厚核小,方便即食",好评
"日期新鲜,软糯香甜,方便即食,性价比高",好评
"日期新鲜,香气浓郁,方便即食,性价比高",好评
"日期新鲜,香气浓郁,方便即食,性价比高",好评
"日期新鲜,软糯香甜,香气浓郁,方便即食",好评
"日期新鲜,软糯香甜,圆润饱满,性价比高",好评
"非常新鲜,日期新鲜,熟度适中,大小均匀",好评
不好吃,差评
"日期新鲜,软糯香甜,圆润饱满,性价比高",好评
"日期新鲜,软糯香甜,圆润饱满",好评
"软糯香甜,香气浓郁,圆润饱满",好评
"日期新鲜,软糯香甜,方便即食",好评
"软糯香甜,香气浓郁,圆润饱满,肉厚核小,方便即食,性价比高",好评
"非常新鲜,酸酸甜甜,熟度适中,大小均匀",好评
"日期新鲜,软糯香甜,肉厚核小,性价比高",好评
"日期新鲜,软糯香甜,香气浓郁,性价比高",好评
又甜又糯，味道很濃,好评
榴莲肉太小，味道还行！,好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满",好评
"日期新鲜,软糯香甜,肉厚核小,方便即食",好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满",好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满",好评
非常好。。。,好评
"日期新鲜,肉厚核小,方便即食,性价比高",好评
"软糯香甜,肉厚核小,方便即食",好评
"软糯香甜,肉厚核小",好评
送货快，味道好，推荐！！,好评
这次买的不好。,差评
有冰茬儿，一般吧,好评
"软糯香甜,香气浓郁,圆润饱满,性价比高",好评
"软糯香甜,香气浓郁,肉厚核小,方便即食",好评
"软糯香甜,香气浓郁,性价比高",好评
可以,好评
"圆润饱满,方便即食,性价比高",好评
真的很甜糯，很好吃。会回购的！,好评
"非常新鲜,日期新鲜,酸酸甜甜,软糯香甜",好评
"香气浓郁,圆润饱满,肉厚核小",好评
"不甜/发涩,发苦",差评
"非常新鲜,日期新鲜,酸酸甜甜,软糯香甜",好评
成熟度刚刚好，软糯香甜,好评
"软糯香甜,圆润饱满,肉厚核小,方便即食",好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满,肉厚核小,方便即食,性价比高",好评
"软糯香甜,香气浓郁",好评
"日期新鲜,软糯香甜,香气浓郁",好评
软糯香甜,好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满",好评
"软糯香甜,圆润饱满,性价比高",好评
这次买的不好吃，没有榴莲味，像生地瓜。,差评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满,肉厚核小,方便即食",好评
"圆润饱满,肉厚核小,方便即食,性价比高",好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满",好评
"非常新鲜,熟度适中",好评
"日期新鲜,香气浓郁,圆润饱满,肉厚核小",好评
"软糯香甜,香气浓郁,肉厚核小,性价比高",好评
"软糯香甜,圆润饱满,肉厚核小",好评
"非常新鲜,日期新鲜,酸酸甜甜",好评
"软糯香甜,香气浓郁,性价比高",好评
发酸 味道不纯,差评
"软糯香甜,圆润饱满,方便即食,性价比高",好评
"香气浓郁,性价比高",好评
"非常新鲜,日期新鲜,酸酸甜甜",好评
"日期新鲜,软糯香甜,香气浓郁,肉厚核小",好评
"日期新鲜,圆润饱满,肉厚核小,性价比高",好评
"软糯香甜,圆润饱满,肉厚核小,性价比高",好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满",好评
"日期新鲜,软糯香甜,香气浓郁,圆润饱满",好评
"软糯香甜,香气浓郁,圆润饱满,方便即食",好评
不咋滴,差评
"日期新鲜,软糯香甜,香气浓郁",好评
"软糯香甜,方便即食",好评
"香气浓郁,肉厚核小,方便即食,性价比高",好评
"日期新鲜,软糯香甜,香气浓郁",好评
"非常新鲜,日期新鲜,酸酸甜甜,软糯香甜",好评
"日期新鲜,香气浓郁,方便即食,性价比高",好评
"非常新鲜,日期新鲜",好评
